housing_type,size_sqm,rooms,floor,furnished,roommate_friendly,pets_allowed,elevator,senior_friendly,students_only,balcony_terrace,parking,dishwasher,washing_machine,charging_station,dryer,energy_mark,area,availability_in,days_on_website,months_on_website,monthly_rent_log,monthly_aconto_log,deposit_log,prepaid_rent_log,total_monthly_rent_log
Lejlighed,66.0,4,8,Nej,Ja,Ja,Ja,Nej,Nej,Ja,Nej,Ja,Ja,Nej,Ja,A10,København S,3+ months,11.0,<1 month,9.53430615650521,6.55250788703459,10.632870225678168,9.53430615650521,9.583695426166113
Lejlighed,93.0,3,1,Nej,Nej,Ja,Nej,Ikke angivet,Ikke angivet,Nej,Nej,Ja,Ja,Nej,Ja,A20,København S,1-3 months,11.0,<1 month,9.539716058977092,6.90875477931522,10.638280388314705,9.539716058977092,9.60918360377546
Lejlighed,50.0,1,3,Ja,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Nej,Nej,Ikke angivet,Ikke angivet,Nej,Ikke angivet,none,København K,1-3 months,11.0,<1 month,9.465060106725137,6.398594934535208,10.563620718477313,0.0,9.510519035757246
Lejlighed,40.0,2,3,Ja,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Nej,Nej,Ikke angivet,Ikke angivet,Nej,Ikke angivet,D,København Ø,<1 month,11.0,<1 month,9.19023970026918,6.2166061010848646,10.288783966353765,0.0,9.239996256883693
Lejlighed,72.0,3,2,Ja,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Nej,Nej,Ikke angivet,Ikke angivet,Nej,Ikke angivet,none,Søborg,<1 month,11.0,<1 month,9.425532393502772,6.398594934535208,10.524090921620362,0.0,9.472781556562168
Lejlighed,82.0,4,1,Ja,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Nej,Nej,Ikke angivet,Ikke angivet,Nej,Ikke angivet,none,Gentofte,<1 month,11.0,<1 month,9.60918360377546,6.68586094706836,10.707751151716078,0.0,9.661479683575521
Lejlighed,81.0,3,3,Nej,Ja,Ja,Ikke angivet,Nej,Nej,Ja,Ja,Ikke angivet,Ja,Nej,Ja,none,Herlev,1-3 months,11.0,<1 month,9.45727857185611,6.55250788703459,10.555838779903407,9.45727857185611,9.510519035757246
Lejlighed,71.0,2,2,Nej,Ja,Ja,Ikke angivet,Nej,Nej,Ja,Ja,Ikke angivet,Ja,Nej,Ja,none,Herlev,1-3 months,11.0,<1 month,9.301186055275759,6.55250788703459,10.39973746484973,9.301186055275759,9.36314729221994
Lejlighed,108.0,4,2,Ja,Ja,Nej,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja,Ja,A15,Kastrup,1-3 months,11.0,<1 month,9.648659816955295,6.90875477931522,9.648659816955295,9.648659816955295,9.711176264112805
Lejlighed,113.0,3,2,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,A15,Valby,1-3 months,11.0,<1 month,9.619199713152362,7.030857476116121,10.7177677069941,9.619199713152362,9.691592993399809
