monthly_rent,monthly_aconto,housing_type,size_sqm,rooms,floor,furnished,roommate_friendly,pets_allowed,elevator,senior_friendly,students_only,balcony_terrace,parking,dishwasher,washing_machine,charging_station,dryer,deposit,prepaid_rent,energy_mark,area,availability_in,days_on_website,total_monthly_rent,months_on_website
17750.0,250.0,Lejlighed,86.0,3,3,Ja,Nej,Nej,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Ja,53250.0,17750.0,B,Frederiksberg,1-3 months,11.0,18000.0,<1 month
11900.0,0.0,Lejlighed,135.0,4,3,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,35700.0,35700.0,C,Taastrup,<1 month,11.0,11900.0,<1 month
25000.0,2500.0,Lejlighed,160.0,7,2,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Ja,Ja,Ja,Ikke angivet,Ja,75000.0,0.0,D,Valby,<1 month,11.0,27500.0,<1 month
6500.0,1300.0,Værelse,30.0,1,2,Ja,Nej,Nej,Nej,Nej,Ja,Nej,Ja,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,13000.0,13000.0,C,Hellerup,<1 month,11.0,7800.0,<1 month
19900.0,1380.0,Lejlighed,105.0,3,1,Nej,Nej,Nej,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja,Ja,59700.0,19900.0,C,Kongens Lyngby,<1 month,11.0,21280.0,<1 month
7000.0,0.0,Værelse,13.0,1,2,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Ikke angivet,Ja,Ikke angivet,Ikke angivet,14000.0,0.0,C,Frederiksberg,<1 month,11.0,7000.0,<1 month
12800.0,600.0,Lejlighed,96.0,3,0,Nej,Ja,Ja,Nej,Ja,Nej,Nej,Nej,Ja,Ja,Ikke angivet,Ikke angivet,38400.0,38400.0,C,Gentofte,<1 month,11.0,13400.0,<1 month
15000.0,1500.0,Lejlighed,95.0,4,0,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,30000.0,15000.0,D,Dragør,<1 month,11.0,16500.0,<1 month
15500.0,0.0,Lejlighed,74.0,3,1,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Ja,Ikke angivet,Ja,31000.0,15500.0,D,København Ø,<1 month,11.0,15500.0,<1 month
15200.0,1000.0,Lejlighed,80.0,2,2,Nej,Ja,Nej,Ja,Nej,Nej,Nej,Ja,Ja,Ja,Nej,Ja,45600.0,15200.0,A10,Vanløse,1-3 months,12.0,16200.0,<1 month
10650.0,600.0,Lejlighed,41.0,1,3,Nej,Nej,Nej,Ja,Nej,Nej,Nej,Ja,Nej,Ja,Nej,Ja,31950.0,10650.0,A10,Vanløse,1-3 months,12.0,11250.0,<1 month
15500.0,1000.0,Lejlighed,94.0,4,2,Nej,Ja,Nej,Ja,Nej,Nej,Ja,Ja,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,46500.0,15500.0,none,København S,1-3 months,12.0,16500.0,<1 month
13000.0,900.0,Lejlighed,75.0,2,7,Nej,Ja,Nej,Ja,Ja,Nej,Ja,Ja,Ja,Nej,Nej,Nej,39000.0,13000.0,none,København S,<1 month,12.0,13900.0,<1 month
18500.0,1200.0,Lejlighed,100.0,4,1,Ja,Nej,Nej,Ja,Ja,Nej,Ja,Nej,Ja,Ikke angivet,Ikke angivet,Ikke angivet,55500.0,0.0,C,Frederiksberg C,1-3 months,12.0,19700.0,<1 month
17500.0,990.0,Lejlighed,91.0,2,4,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,52500.0,17500.0,none,København Ø,1-3 months,12.0,18490.0,<1 month
18595.0,1200.0,Lejlighed,108.0,3,2,Nej,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,55785.0,18595.0,none,København V,<1 month,12.0,19795.0,<1 month
13500.0,1000.0,Lejlighed,108.0,4,4,Nej,Ja,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Nej,Ja,40500.0,13500.0,A20,Ballerup,3+ months,12.0,14500.0,<1 month
19950.0,1300.0,Lejlighed,116.0,4,0,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Nej,Ja,Ikke angivet,Ikke angivet,Ikke angivet,59850.0,19950.0,none,København S,1-3 months,12.0,21250.0,<1 month
16723.0,1030.0,Lejlighed,116.0,4,3,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ja,Ja,Ikke angivet,Ikke angivet,Nej,Ikke angivet,50169.0,50169.0,none,Frederiksberg,<1 month,12.0,17753.0,<1 month
7500.0,450.0,Lejlighed,35.0,1,1,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ja,Nej,Ikke angivet,Ja,Nej,Ja,22500.0,0.0,C,Rødovre,<1 month,12.0,7950.0,<1 month
7400.0,500.0,Lejlighed,33.0,1,1,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Ja,22200.0,7400.0,A15,Brønshøj,<1 month,12.0,7900.0,<1 month
